layer_name,parameter_shape,parameter_norm,gradient_norm,update_norm,update_to_weight_ratio,learning_rate,warmup_fraction,schedule_multiplier,optimizer_step,execution_mode
blocks.1.ln2.bias,[64],0.0020706241484731436,0.008428440429270267,0.0008728011162020266,0.4215159553923009,0.00017999999999999998,0.6,0.6,5,smoke
blocks.1.mlp.fc1.weight,"[256, 64]",9.242268562316895,0.11701046675443649,0.011924969032406807,0.001290264284358493,0.00017999999999999998,0.6,0.6,5,smoke
blocks.1.mlp.fc1.bias,[256],1.1363513469696045,0.016133151948451996,0.0016496042953804135,0.0014516674792347808,0.00017999999999999998,0.6,0.6,5,smoke
blocks.1.mlp.fc2.weight,"[64, 256]",4.63472318649292,0.22018314898014069,0.012181930243968964,0.002628405139593027,0.00017999999999999998,0.6,0.6,5,smoke
blocks.1.mlp.fc2.bias,[64],0.28944334387779236,0.05214790627360344,0.0008604020695202053,0.002972609623676407,0.00017999999999999998,0.6,0.6,5,smoke
ln_f.weight,[64],7.999459266662598,0.07139038294553757,0.0008255556458607316,0.00010320143128938718,0.00017999999999999998,0.6,0.6,5,smoke
ln_f.bias,[64],0.002262525726109743,0.07665497064590454,0.0008625806658528745,0.3812467880027258,0.00017999999999999998,0.6,0.6,5,smoke
lm_head.weight,"[33, 64]",3.3504459857940674,0.8318509459495544,0.005050525069236755,0.0015074187408634684,0.00017999999999999998,0.6,0.6,5,smoke
token_emb.weight,"[33, 64]",46.13383483886719,0.04477502033114433,0.0032726030331104994,7.093715587574288e-05,0.00020999999999999998,0.7,0.7,6,smoke
pos_emb.weight,"[32, 64]",44.93209457397461,0.04443376138806343,0.0018160066101700068,4.0416691618508856e-05,0.00020999999999999998,0.7,0.7,6,smoke
blocks.0.ln1.weight,[64],7.999725341796875,0.011459780856966972,0.0008797275368124247,0.00010996971761218277,0.00020999999999999998,0.7,0.7,6,smoke
blocks.0.ln1.bias,[64],0.002820595633238554,0.011158626526594162,0.0009208341944031417,0.32646799262957715,0.00020999999999999998,0.7,0.7,6,smoke
blocks.0.attn.qkv.weight,"[192, 64]",7.997052192687988,0.1498243659734726,0.01054785493761301,0.0013189678750949404,0.00020999999999999998,0.7,0.7,6,smoke
